,url_length,domain_length,subdomain_length,path_length,._count,-_count,__count,/_count,?_count,=_count,@_count,digit_count,letter_count,special_char_count,digit_ratio,letter_ratio,has_ip,entropy,word_count,keyword_count,suspicious_tld,https,Target
0,139,3,3,139,3,10,2,3,0,0,0,8,109,22,0.05755395683453238,0.7841726618705036,0,4.70757998266851,21,0,0,0,0
1,17,8,5,17,2,0,0,0,0,0,0,1,14,2,0.058823529411764705,0.8235294117647058,0,3.616874605956222,3,0,0,0,1
2,56,6,0,56,3,0,1,5,0,0,0,20,27,9,0.35714285714285715,0.48214285714285715,0,4.662016252639432,10,0,0,0,0
3,23,8,11,23,2,0,0,0,0,0,0,0,21,2,0.0,0.9130434782608695,0,3.7081320646586016,3,0,0,0,1
4,16,8,3,16,2,0,0,0,0,0,0,2,12,2,0.125,0.75,0,3.5,3,0,0,0,1
5,74,9,0,22,2,1,1,1,1,2,0,20,45,9,0.2702702702702703,0.6081081081081081,0,4.808794710335105,10,0,0,0,0
6,49,6,16,40,3,0,0,1,1,2,0,2,39,8,0.04081632653061224,0.7959183673469388,0,4.38481877255418,9,0,0,0,0
7,30,7,18,30,3,1,0,0,0,0,0,0,26,4,0.0,0.8666666666666667,0,3.6225797618424918,5,0,0,0,1
8,103,3,4,103,4,2,0,8,0,0,0,18,71,14,0.17475728155339806,0.6893203883495146,0,4.599027411739582,15,0,0,0,0
9,22,8,10,22,2,0,0,0,0,0,0,0,20,2,0.0,0.9090909090909091,0,3.481714572986073,3,0,0,0,1
10,18,6,5,18,2,0,0,1,0,0,0,0,15,3,0.0,0.8333333333333334,0,3.8365916681089787,3,0,0,0,0
11,48,13,30,48,3,4,0,0,0,0,0,16,25,7,0.3333333333333333,0.5208333333333334,0,4.428508854797678,8,0,0,0,1
12,31,5,3,31,2,0,0,2,0,0,0,0,27,4,0.0,0.8709677419354839,0,3.781147020819124,5,0,0,0,0
13,64,18,3,64,3,3,0,1,0,0,0,0,57,7,0.0,0.890625,0,4.084322516654254,8,0,0,0,0
14,76,8,10,76,3,5,0,3,0,0,0,6,59,11,0.07894736842105263,0.7763157894736842,0,4.596308520382115,12,0,0,0,0
