,url_length,domain_length,subdomain_length,path_length,._count,-_count,__count,/_count,?_count,=_count,@_count,digit_count,letter_count,special_char_count,digit_ratio,letter_ratio,has_ip,entropy,word_count,keyword_count,suspicious_tld,https,Target
0,19,4,0,19,2,0,0,1,0,0,0,0,16,3,0.0,0.8421052631578947,0,3.6818808028034025,4,0,0,0,1
1,87,19,3,87,2,8,0,2,0,0,0,3,72,12,0.034482758620689655,0.8275862068965517,0,4.357884985317031,13,0,0,0,1
2,77,4,3,77,2,6,1,3,0,0,0,5,60,12,0.06493506493506493,0.7792207792207793,0,4.3267713596115,13,0,0,0,1
3,19,6,7,19,3,0,0,1,0,0,0,2,13,4,0.10526315789473684,0.6842105263157895,0,3.3660913291191923,4,0,0,0,1
4,53,5,0,11,1,5,0,3,1,1,0,8,34,11,0.1509433962264151,0.6415094339622641,0,4.298701474150851,11,0,0,0,1
5,94,12,3,94,2,8,0,5,0,0,0,6,73,15,0.06382978723404255,0.776595744680851,0,4.328294708757146,16,0,0,0,1
6,21,8,9,21,2,0,0,0,0,0,0,0,19,2,0.0,0.9047619047619048,0,3.4399364703978077,3,0,0,0,1
7,540,7,0,24,11,0,0,1,1,3,0,198,286,56,0.36666666666666664,0.5296296296296297,0,4.223311540794254,56,1,0,0,1
8,27,8,15,27,2,0,0,0,0,0,0,0,25,2,0.0,0.9259259259259259,0,3.8282375018429544,3,0,0,0,1
9,188,7,11,74,4,3,4,5,1,4,0,33,119,36,0.17553191489361702,0.6329787234042553,0,4.701649688315699,35,0,0,0,1
10,6,2,0,6,1,0,0,0,0,0,0,0,5,1,0.0,0.8333333333333334,0,2.584962500721156,2,0,0,0,1
11,84,14,0,84,1,5,0,5,0,0,0,0,73,11,0.0,0.8690476190476191,0,4.313240530499766,11,0,0,0,1
12,32,8,17,32,3,0,0,0,0,0,0,0,29,3,0.0,0.90625,0,3.9414280318460246,4,0,0,0,1
13,22,8,10,22,2,0,0,0,0,0,0,0,20,2,0.0,0.9090909090909091,0,3.788754913993503,3,0,0,0,1
14,25,8,13,25,2,0,0,0,0,0,0,0,23,2,0.0,0.92,0,3.7834651896016473,3,0,0,0,1
15,110,15,0,110,1,8,0,5,0,0,0,25,71,14,0.22727272727272727,0.6454545454545455,0,4.5891631569536475,15,0,0,0,1
16,41,7,29,41,4,4,0,0,0,0,0,12,21,8,0.2926829268292683,0.5121951219512195,0,4.049999797924503,9,0,0,0,1
17,47,8,9,47,3,1,1,3,0,0,0,7,32,8,0.14893617021276595,0.6808510638297872,0,4.13694650097358,9,0,0,0,1
18,42,15,0,42,1,1,0,3,0,0,0,8,29,5,0.19047619047619047,0.6904761904761905,0,4.70767724415582,5,0,0,0,1
19,28,8,3,28,2,1,0,1,0,0,0,0,24,4,0.0,0.8571428571428571,0,4.039148671903071,5,0,0,0,1
20,68,6,10,44,3,0,1,2,1,1,0,10,50,8,0.14705882352941177,0.7352941176470589,0,4.415582833764276,9,0,0,0,1
21,27,8,15,27,2,0,0,0,0,0,0,0,25,2,0.0,0.9259259259259259,0,3.930270372293453,3,0,0,0,1
22,43,8,31,43,2,0,0,0,0,0,0,0,41,2,0.0,0.9534883720930233,0,4.109306836490687,3,0,0,0,1
23,138,20,3,58,3,0,0,3,1,4,0,46,78,14,0.3333333333333333,0.5652173913043478,0,4.944236486844953,15,0,0,0,1
24,37,8,25,37,2,3,0,0,0,0,0,0,32,5,0.0,0.8648648648648649,0,3.918252351823076,6,0,0,0,1
25,130,8,3,130,3,13,0,4,0,0,0,7,103,20,0.05384615384615385,0.7923076923076923,0,4.532244257659241,21,0,0,0,1
26,26,8,14,26,2,0,0,0,0,0,0,0,24,2,0.0,0.9230769230769231,0,3.6714055834424975,3,0,0,0,1
27,29,8,17,29,2,0,0,0,0,0,0,0,27,2,0.0,0.9310344827586207,0,3.9523029776623857,3,0,0,0,1
28,21,17,0,21,1,2,0,0,0,0,0,3,15,3,0.14285714285714285,0.7142857142857143,0,3.880179922675738,4,0,0,0,1
29,58,9,16,58,3,3,0,1,0,0,0,0,51,7,0.0,0.8793103448275862,0,4.324606909445718,8,0,0,0,1
30,22,7,4,22,2,0,0,2,0,0,0,0,18,4,0.0,0.8181818181818182,0,3.5160276412662306,4,0,0,0,1
31,66,11,0,66,2,6,0,1,0,0,0,0,57,9,0.0,0.8636363636363636,0,4.162908278377766,10,0,0,0,1
32,75,7,3,75,3,2,0,4,0,0,0,14,51,10,0.18666666666666668,0.68,0,4.65096940479405,11,0,0,0,1
33,20,8,8,20,2,0,0,0,0,0,0,2,16,2,0.1,0.8,0,3.684183719779189,3,0,0,0,1
34,57,15,3,57,2,3,0,4,0,0,0,1,47,9,0.017543859649122806,0.8245614035087719,0,4.323432119124255,9,0,0,0,1
35,82,5,15,82,3,6,0,1,0,0,0,7,65,10,0.08536585365853659,0.7926829268292683,0,4.464472133676395,11,0,0,0,1
36,56,6,3,56,4,0,1,4,0,0,0,20,27,9,0.35714285714285715,0.48214285714285715,0,4.539148671903071,10,0,0,0,1
37,93,6,3,34,3,0,0,2,1,4,0,27,51,15,0.2903225806451613,0.5483870967741935,0,4.800828134519342,16,0,0,0,1
38,64,6,6,20,5,0,0,4,1,1,0,0,52,12,0.0,0.8125,0,4.303072516654254,10,0,0,0,1
39,31,9,18,31,2,1,0,0,0,0,0,0,28,3,0.0,0.9032258064516129,0,3.977916874693636,4,0,0,0,1
40,20,6,9,20,2,0,0,0,0,0,0,0,18,2,0.0,0.9,0,3.8219280948873626,3,0,0,0,1
41,40,7,0,40,1,0,0,2,0,0,0,0,37,3,0.0,0.925,0,4.013460684196428,4,0,0,0,1
